Wall time,Step,Value
1707036254.7000349,3000,-23.900056838989258
1707036274.7180367,9500,-23.766735076904297
1707036283.093037,12500,-23.620397567749023
1707036305.109546,20500,-23.286874771118164
1707036307.7045465,21500,-23.277341842651367
1707036312.0607338,23000,-23.255945205688477
1707036314.5557327,24000,-23.25074577331543
1707036322.1347327,27000,-23.043102264404297
1707036326.2349024,28500,-22.985607147216797
1707036345.4959025,36000,-22.548898696899414
1707036349.3339033,37500,-22.462451934814453
1707036355.5819018,40000,-22.50570297241211
1707036365.876903,44000,-22.537322998046875
1707036374.9969025,47500,-22.422836303710938
1707036385.7804253,51500,-22.169843673706055
1707036389.6472719,53000,-22.01675033569336
1707036391.1542706,53500,-21.99755096435547
1707036399.9942703,57000,-21.890256881713867
1707036416.7742703,63500,-21.754661560058594
1707036433.4032702,70000,-21.380016326904297
1707036447.5262702,75500,-21.134769439697266
1707036453.9577887,78000,-21.036924362182617
1707036457.6627903,79500,-21.07462501525879
1707036468.8247597,84000,-20.95671844482422
1707036470.07876,84500,-20.944868087768555
1707036482.8027606,89500,-20.708223342895508
1707036489.0597603,92000,-20.71367645263672
1707036491.6407597,93000,-20.800518035888672
1707036492.9317594,93500,-20.730417251586914
1707036498.1367593,95500,-20.643102645874023
1707036508.6807604,99500,-20.538721084594727
1707036519.096759,103500,-20.266998291015625
1707036520.3477604,104000,-20.271862030029297
1707036526.6697593,106500,-20.16194725036621
1707036540.6787603,112000,-20.065441131591797
1707036548.2017589,115000,-19.968578338623047
1707036554.5117593,117500,-19.9716739654541
1707036558.2157607,119000,-19.914505004882812
1707036574.1407623,125000,-19.694236755371094
1707036582.3097599,128000,-19.677770614624023
1707036589.1751792,130500,-19.760961532592773
1707036598.4241788,134000,-19.651123046875
1707036603.8761795,136000,-19.681791305541992
1707036606.4721792,137000,-19.695720672607422
1707036631.6705928,146500,-19.82647705078125
1707036638.2915947,149000,-19.925573348999023
1707036639.6975935,149500,-19.995885848999023
1707036646.5025926,152000,-20.10232162475586
1707036652.9095926,154500,-20.17861557006836
1707036655.4825933,155500,-20.166826248168945
1707036665.9415932,159500,-20.16021728515625
1707036667.2275941,160000,-20.15395736694336
1707036676.3371077,163500,-20.217090606689453
1707036681.3921084,165500,-20.20431137084961
1707036693.022108,170000,-20.09126091003418
1707036703.3691084,174000,-20.143022537231445
1707036725.0221083,182000,-20.1164493560791
1707036730.2841084,184000,-20.132173538208008
1707036738.1431084,187000,-19.995019912719727
1707036743.3591082,189000,-19.998741149902344
1707036745.9091082,190000,-20.006093978881836
1707036802.0901089,211000,-20.139545440673828
1707036803.43211,211500,-20.16556167602539
1707036806.1131077,212500,-20.137184143066406
1707036814.7141087,215500,-20.130159378051758
1707036827.2381089,220000,-20.133081436157227
1707036830.1021082,221000,-20.105628967285156
1707036831.5621088,221500,-20.09955406188965
1707036835.9581091,223000,-20.103538513183594
1707036844.959108,226000,-20.006999969482422
1707036857.2701077,230500,-20.14720344543457
1707036861.4951081,232000,-20.179122924804688
1707036862.851108,232500,-20.14897918701172
1707036876.8291085,237500,-20.192413330078125
1707036901.2121084,246000,-20.27042007446289
1707036904.2091079,247000,-20.284366607666016
1707036923.418109,254000,-20.30816650390625
1707036930.662108,256500,-20.281572341918945
1707036933.570108,257500,-20.298778533935547
1707036937.922108,259000,-20.35369300842285
1707036949.325108,263000,-20.257081985473633
1707036957.9141073,266000,-20.227344512939453
1707036961.0681076,267000,-20.21328353881836
1707036965.2631078,268500,-20.23137664794922
1707036974.1361084,271500,-20.200088500976562
1707036981.0341074,274000,-20.223201751708984
1707036995.3871095,279000,-20.141138076782227
1707037003.6121075,282000,-20.229717254638672
1707037011.749108,285000,-20.193721771240234
1707037017.294108,287000,-20.112260818481445
1707037026.195109,290000,-20.111862182617188
1707037029.0521083,291000,-20.094783782958984
1707037030.4881084,291500,-20.091203689575195
1707037033.458108,292500,-20.060007095336914
1707037036.729109,293500,-20.117773056030273
1707037038.3171084,294000,-20.088666915893555
1707037045.453108,296500,-20.21159553527832
1707037046.874109,297000,-20.191879272460938
1707037059.9071083,301500,-20.35805892944336
1707037068.356108,304500,-20.471935272216797
1707037071.1561084,305500,-20.509885787963867
1707037078.0671077,308000,-20.462238311767578
1707037085.382108,310500,-20.400936126708984
1707037088.1281075,311500,-20.396503448486328
1707037106.0271096,317500,-20.502914428710938
1707037117.1719322,321000,-20.424009323120117
1707037118.661965,321500,-20.443805694580078
1707037121.7050226,322500,-20.42954444885254
1707037124.9000773,323500,-20.424348831176758
1707037126.353079,324000,-20.453678131103516
1707037129.2820785,325000,-20.502952575683594
1707037147.4290783,331000,-20.404226303100586
1707037152.1560864,332500,-20.427806854248047
1707037158.1060774,334500,-20.430078506469727
1707037162.3935914,336000,-20.46821403503418
1707037166.8535926,337500,-20.503002166748047
1707037173.2461076,339500,-20.548053741455078
1707037174.7351081,340000,-20.5452938079834
1707037180.592108,342000,-20.56344985961914
1707037187.9311078,344500,-20.523460388183594
1707037204.2911084,350000,-20.63671875
1707037210.2102327,352000,-20.69970703125
1707037214.5352323,353500,-20.729774475097656
1707037226.3332322,357500,-20.787982940673828
1707037232.8852365,359500,-20.73149871826172
1707037237.3782327,361000,-20.790904998779297
1707037238.8372343,361500,-20.815685272216797
1707037240.2912316,362000,-20.874170303344727
1707037250.4652321,365500,-21.101627349853516
1707037258.974232,368500,-21.201099395751953
1707037262.4802332,369500,-21.199647903442383
1707037264.141232,370000,-21.17513656616211
