Wall time,Step,Value
1707036254.7000349,3000,115.16107940673828
1707036274.7180367,9500,107.89678955078125
1707036283.093037,12500,104.06267547607422
1707036305.109546,20500,109.78184509277344
1707036307.7045465,21500,109.35127258300781
1707036312.0607338,23000,109.44970703125
1707036314.5557327,24000,110.60173797607422
1707036322.1347327,27000,113.61688995361328
1707036326.2349024,28500,115.29527282714844
1707036345.4959025,36000,144.7791748046875
1707036349.3339033,37500,146.2447967529297
1707036355.580902,40000,154.87232971191406
1707036365.876903,44000,165.05902099609375
1707036374.9969025,47500,142.83673095703125
1707036385.7804253,51500,153.7718048095703
1707036389.6472719,53000,159.25970458984375
1707036391.1542706,53500,156.61111450195312
1707036399.9942703,57000,133.6915740966797
1707036416.7742703,63500,109.21161651611328
1707036433.4032702,70000,137.4762420654297
1707036447.5262702,75500,135.52792358398438
1707036453.9577887,78000,95.29927825927734
1707036457.6627903,79500,93.6874008178711
1707036468.8247597,84000,83.53870391845703
1707036470.07876,84500,86.08084106445312
1707036482.8027606,89500,116.25413513183594
1707036489.05876,92000,122.5399398803711
1707036491.6407597,93000,118.27417755126953
1707036492.9317594,93500,117.3204345703125
1707036498.1367593,95500,131.5929718017578
1707036508.6807604,99500,147.73548889160156
1707036519.096759,103500,119.0128173828125
1707036520.3477604,104000,118.13762664794922
1707036526.6697593,106500,113.10665130615234
1707036540.6787603,112000,113.1920394897461
1707036548.2017589,115000,120.62301635742188
1707036554.5117593,117500,108.75698852539062
1707036558.2157607,119000,113.0798568725586
1707036574.1407623,125000,162.4371795654297
1707036582.3097599,128000,192.62527465820312
1707036589.1751792,130500,173.6691436767578
1707036598.4241788,134000,183.29917907714844
1707036603.8761795,136000,190.96563720703125
1707036606.4721792,137000,187.24049377441406
1707036631.6705928,146500,156.7987823486328
1707036638.2915947,149000,150.1387939453125
1707036639.6975935,149500,147.5414581298828
1707036646.5025926,152000,143.64073181152344
1707036652.9095926,154500,136.50796508789062
1707036655.481593,155500,131.85720825195312
1707036665.9415932,159500,133.58734130859375
1707036667.2275941,160000,126.91204833984375
1707036676.3371077,163500,134.3387451171875
1707036681.3921084,165500,133.3180389404297
1707036693.0211082,170000,132.14022827148438
1707036703.3691084,174000,145.15663146972656
1707036725.0221083,182000,153.3126678466797
1707036730.2841084,184000,155.09471130371094
1707036738.1431084,187000,162.52760314941406
1707036743.3591082,189000,159.26589965820312
1707036745.908108,190000,150.634033203125
1707036802.0901089,211000,171.2105712890625
1707036803.43211,211500,174.91043090820312
1707036806.1131077,212500,177.7754364013672
1707036814.7141087,215500,179.17213439941406
1707036827.2381089,220000,211.5351104736328
1707036830.1021082,221000,214.7028350830078
1707036831.5621088,221500,217.6161346435547
1707036835.9581091,223000,208.76329040527344
1707036844.959108,226000,211.86961364746094
1707036857.2701077,230500,218.1843719482422
1707036861.4951081,232000,213.25477600097656
1707036862.851108,232500,211.4578094482422
1707036876.8291085,237500,198.8287353515625
1707036901.2121084,246000,203.0869598388672
1707036904.2091079,247000,205.41241455078125
1707036923.418109,254000,196.3356475830078
1707036930.662108,256500,184.70664978027344
1707036933.570108,257500,183.64801025390625
1707036937.922108,259000,183.77517700195312
1707036949.325108,263000,188.05943298339844
1707036957.9141073,266000,178.3990020751953
1707036961.0681076,267000,174.8604736328125
1707036965.2631078,268500,175.92404174804688
1707036974.1361084,271500,186.93865966796875
1707036981.0341074,274000,188.2824249267578
1707036995.3871095,279000,198.90213012695312
1707037003.6121075,282000,164.56370544433594
1707037011.749108,285000,148.3775177001953
1707037017.294108,287000,164.03721618652344
1707037026.195109,290000,145.86302185058594
1707037029.0521083,291000,135.57505798339844
1707037030.4881084,291500,130.71238708496094
1707037033.458108,292500,125.7469711303711
1707037036.729109,293500,127.1133041381836
1707037038.3171084,294000,128.902099609375
1707037045.453108,296500,127.40969848632812
1707037046.874109,297000,125.92292785644531
1707037059.9071083,301500,124.83145141601562
