Wall time,Step,Value
1707036191.9840703,454,-8.219785690307617
1707036202.290944,1063,-14.674428939819336
1707036205.1153562,1244,-16.050697326660156
1707036210.803355,1607,-18.912736892700195
1707036226.7455595,2588,-25.32904624938965
1707036228.6965244,2709,-25.720685958862305
1707036230.6703787,2829,-26.72194480895996
1707036231.7015283,2890,-26.90667724609375
1707036233.7033741,3011,-27.53672218322754
1707036239.7510347,3372,-28.838762283325195
1707036242.930035,3552,-30.007722854614258
1707036254.9120355,4096,-31.828439712524414
1707036263.580036,4457,-33.31420135498047
1707036265.0510354,4518,-32.621490478515625
1707036266.549035,4578,-33.16617202758789
1707036268.0890367,4638,-33.22834396362305
1707036277.2650356,4942,-32.99190902709961
1707036288.9370358,5425,-33.86056137084961
1707036299.0735455,5849,-35.63400650024414
1707036311.2677336,6334,-36.64366912841797
1707036315.3757343,6516,-36.708106994628906
1707036316.6917326,6576,-36.4186897277832
1707036326.4959025,6999,-35.846435546875
1707036333.5619018,7300,-34.83686065673828
1707036344.631905,7786,-36.339210510253906
1707036350.179903,8027,-36.3177375793457
1707036362.785902,8573,-35.442726135253906
1707036366.910902,8754,-36.56021499633789
1707036378.8354235,9236,-35.6953125
1707036385.948424,9538,-35.497825622558594
1707036390.5152721,9721,-36.16749572753906
1707036403.2902708,10266,-36.03268814086914
1707036404.6712701,10326,-35.79966354370117
1707036417.5292697,10871,-35.980960845947266
1707036419.00127,10932,-36.23284149169922
1707036426.5022702,11234,-35.39417266845703
1707036429.4732714,11355,-35.92778778076172
1707036430.90027,11415,-35.385650634765625
1707036436.644271,11656,-35.69569778442383
1707036448.5752704,12140,-36.33798599243164
1707036460.4117885,12624,-35.19121551513672
1707036461.878789,12685,-35.877872467041016
1707036463.3737884,12745,-35.541786193847656
1707036469.2247598,12988,-36.23826599121094
1707036485.3457606,13651,-36.27406692504883
1707036494.14576,14016,-36.32630920410156
1707036501.58176,14322,-34.92284393310547
1707036506.0787616,14504,-36.15332794189453
1707036524.5807598,15233,-36.169464111328125
1707036533.5187595,15597,-36.287227630615234
1707036541.1207595,15899,-36.01300048828125
1707036545.4797597,16080,-37.348453521728516
1707036551.4427598,16323,-35.82377624511719
1707036557.373759,16566,-36.13774490356445
1707036560.3647604,16688,-36.44233703613281
1707036589.8361793,17846,-35.58311462402344
1707036597.2961798,18150,-35.56462478637695
1707036598.7891796,18210,-35.649513244628906
1707036606.4011786,18512,-36.325286865234375
1707036612.3631783,18753,-36.9603157043457
1707036613.8391783,18813,-35.944923400878906
