Wall time,Step,Value
1707135434.025481,116,3.4677698612213135
1707135436.7899938,220,-25.096080780029297
1707135438.9499946,303,-31.060733795166016
1707135441.1199949,387,-34.45975112915039
1707135443.536994,479,-37.932655334472656
1707135445.8259947,564,-42.48128890991211
1707135447.844994,640,-44.54948425292969
1707135449.6459935,710,-47.40058517456055
1707135451.567994,777,-49.60686492919922
1707135453.6609955,843,-53.14466857910156
1707135455.988996,911,-57.4906120300293
1707135458.3615134,980,-59.66413497924805
1707135461.1655128,1062,-61.821746826171875
1707135463.7675126,1136,-65.36801147460938
1707135466.9185133,1221,-67.15420532226562
1707135469.715513,1301,-71.87335205078125
1707135472.3005128,1376,-70.98014068603516
1707135475.6785128,1475,-77.68151092529297
1707135479.3195136,1578,-75.30914306640625
1707135483.7835124,1706,-82.05979919433594
1707135489.4255135,1856,-85.79069519042969
1707135494.6035125,1981,-85.91105651855469
1707135500.6795125,2139,-94.10258483886719
1707135506.261513,2296,-92.20033264160156
1707135511.566513,2445,-97.39793395996094
1707135519.3065124,2651,-102.34363555908203
1707135529.7209768,2858,-110.6269760131836
1707135542.162336,3089,-106.2838363647461
1707135554.0042727,3309,-115.40406799316406
1707135565.1429012,3532,-117.16215515136719
1707135576.6091633,3776,-120.48045349121094
1707135587.9497976,4013,-124.36854553222656
1707135600.843291,4277,-119.967041015625
1707135611.4382017,4499,-129.9314727783203
1707135626.4277189,4783,-134.00616455078125
1707135640.5225368,5057,-137.94607543945312
1707135651.0035365,5269,-137.79751586914062
1707135665.8051922,5558,-137.30380249023438
1707135684.1761937,5878,-139.8107147216797
1707135706.1211646,6190,-147.18345642089844
1707135719.7791634,6423,-148.71583557128906
1707135734.1791635,6673,-153.12205505371094
1707135748.287164,6915,-150.56686401367188
1707135763.6021655,7184,-145.5625457763672
1707135778.1291652,7443,-146.9816131591797
1707135792.6406834,7709,-151.18902587890625
1707135810.0731812,8006,-152.88040161132812
1707135825.3951814,8284,-147.65499877929688
1707135839.5641818,8542,-150.25668334960938
1707135857.115182,8866,-146.27166748046875
1707135872.8847113,9158,-148.3502655029297
1707135886.623381,9410,-157.23358154296875
1707135903.0213795,9693,-161.12789916992188
1707135921.4753792,10033,-152.57591247558594
1707135938.0563805,10338,-159.31875610351562
1707135954.16438,10634,-151.12841796875
1707135973.0342305,10945,-149.57322692871094
1707135990.7309148,11231,-143.1227569580078
1707136009.1651998,11552,-155.84194946289062
1707136027.1529326,11858,-144.45339965820312
1707136040.8012352,12102,-145.35256958007812
1707136057.4407527,12397,-149.46578979492188
1707136077.190272,12729,-156.93666076660156
1707136100.8978012,13109,-145.04779052734375
1707136117.4168017,13410,-151.50021362304688
1707136138.5467544,13748,-147.39077758789062
1707136162.1053884,14100,-151.6369171142578
1707136183.1183891,14435,-144.03977966308594
1707136206.594566,14806,-155.04791259765625
1707136226.5531752,15097,-153.84312438964844
1707136244.375462,15365,-149.11764526367188
1707136269.0765336,15758,-148.6575164794922
1707136287.5236926,16054,-147.54156494140625
1707136306.990779,16371,-147.1005401611328
1707136323.7348163,16664,-147.54547119140625
1707136341.0278158,16957,-159.501220703125
1707136366.735734,17353,-145.67803955078125
1707136386.483664,17673,-152.3800506591797
1707136403.1736639,17960,-149.48367309570312
1707136421.859664,18268,-150.5447998046875
1707136441.2451248,18593,-138.0482635498047
1707136464.4851258,18989,-147.33084106445312
1707136478.8931258,19234,-153.7163543701172
1707136505.427061,19680,-151.02703857421875
1707136534.372059,20175,-144.4810791015625
1707136560.9987435,20620,-145.5523681640625
1707136584.5962088,21026,-148.1439971923828
1707136607.3368478,21404,-146.97836303710938
1707136631.7077699,21787,-144.55287170410156
1707136654.8212926,22149,-140.6615753173828
1707136673.909465,22435,-137.52236938476562
1707136700.548086,22822,-151.61203002929688
1707136723.9626973,23201,-146.829345703125
1707136743.4911819,23492,-149.66793823242188
1707136766.4122071,23800,-145.37222290039062
1707136794.2111757,24226,-150.68405151367188
1707136821.0594716,24602,-147.64971923828125
1707136844.9981954,24965,-152.56886291503906
1707136873.4619803,25355,-145.20765686035156
1707136898.5271132,25705,-143.45140075683594
1707136919.759157,26016,-147.88441467285156
1707136940.6215255,26320,-143.2935333251953
