Wall time,Step,Value
1707336127.4462962,3000,-23.873611450195312
1707336140.4023993,6000,-23.727828979492188
1707336149.0154455,8000,-23.6648006439209
1707336155.7584453,9500,-23.60369110107422
1707336168.9826632,12500,-23.691049575805664
1707336196.0326946,18500,-23.755388259887695
1707336204.6126966,20500,-23.66321563720703
1707336208.9026945,21500,-23.64350700378418
1707336213.4196947,22500,-23.63491439819336
1707336215.6267915,23000,-23.546852111816406
1707336219.9887915,24000,-23.583208084106445
1707336233.6219456,27000,-23.56178092956543
1707336235.7519474,27500,-23.5689697265625
1707336237.9729457,28000,-23.55350685119629
1707336240.146464,28500,-23.5512638092041
1707336260.4314656,33000,-23.524730682373047
1707336266.8724644,34500,-23.44172477722168
1707336273.440465,36000,-23.47456169128418
1707336275.6064634,36500,-23.475238800048828
1707336277.776464,37000,-23.50450897216797
1707336279.9214642,37500,-23.504199981689453
1707336290.5404642,40000,-23.444089889526367
1707336307.7614703,44000,-23.382904052734375
1707336323.1771314,47500,-23.49066162109375
1707336342.473289,51500,-23.535587310791016
1707336348.9742873,53000,-23.57490348815918
1707336351.148287,53500,-23.624481201171875
1707336366.7830176,57000,-23.627500534057617
1707336377.5120165,59500,-23.59585189819336
1707336395.1860168,63500,-23.606002807617188
1707336401.5570161,65000,-23.63933563232422
1707336403.7000167,65500,-23.63526725769043
1707336423.0710177,70000,-23.727819442749023
1707336427.2800162,71000,-23.697887420654297
1707336429.4650168,71500,-23.662822723388672
1707336431.5560176,72000,-23.63134765625
1707336447.182017,75500,-23.72477912902832
1707336458.3180163,78000,-23.77803611755371
1707336462.5820172,79000,-23.766925811767578
1707336464.7055411,79500,-23.811046600341797
1707336473.226972,81500,-23.760116577148438
1707336484.2448254,84000,-23.776382446289062
1707336486.3883548,84500,-23.817678451538086
1707336492.807925,86000,-23.736616134643555
1707336505.685926,89000,-23.720535278320312
1707336507.8079247,89500,-23.716552734375
1707336512.3569236,90500,-23.747976303100586
1707336518.8039267,92000,-23.803543090820312
1707336523.3939269,93000,-23.857412338256836
1707336525.5779243,93500,-23.856056213378906
1707336529.8649254,94500,-23.8328857421875
1707336534.1159258,95500,-23.799516677856445
1707336536.3189242,96000,-23.806066513061523
1707336552.8842278,99500,-23.7711181640625
1707336571.0201442,103500,-23.75881576538086
1707336573.590223,104000,-23.83902931213379
1707336575.7832232,104500,-23.84845733642578
1707336584.4098809,106500,-23.799617767333984
1707336606.4968796,111500,-23.692584991455078
1707336608.5778804,112000,-23.64813232421875
1707336612.8658793,113000,-23.645408630371094
1707336621.3213985,115000,-23.538103103637695
1707336627.6263983,116500,-23.597322463989258
1707336629.7193985,117000,-23.637374877929688
1707336632.0233974,117500,-23.617897033691406
1707336638.5333986,119000,-23.6458740234375
1707336665.7051458,125000,-23.43610382080078
1707336678.614493,128000,-23.303707122802734
1707336684.959546,129500,-23.25812530517578
1707336689.18255,130500,-23.287460327148438
1707336691.2985973,131000,-23.311473846435547
1707336695.842598,132000,-23.284786224365234
1707336704.2906544,134000,-23.319808959960938
1707336712.8706539,136000,-23.327774047851562
1707336717.292718,137000,-23.363813400268555
1707336728.5005841,139500,-23.463287353515625
1707336758.3726528,146500,-23.544986724853516
1707336768.9441733,149000,-23.61037826538086
1707336771.0651734,149500,-23.579158782958984
1707336780.437175,151500,-23.524982452392578
1707336783.1391737,152000,-23.534095764160156
1707336792.3961773,154000,-23.60607147216797
1707336794.847174,154500,-23.584327697753906
1707336799.5041733,155500,-23.492708206176758
1707336805.9881735,157000,-23.431671142578125
1707336817.1111748,159500,-23.516677856445312
1707336819.2541738,160000,-23.496482849121094
1707336821.4601734,160500,-23.48337745666504
1707336832.1381733,163000,-23.410985946655273
1707336834.2861745,163500,-23.393068313598633
1707336836.4881737,164000,-23.35165786743164
1707336843.8431745,165500,-23.304004669189453
1707336863.5791733,170000,-23.20665168762207
1707336867.8751743,171000,-23.172225952148438
1707336881.089174,174000,-23.106830596923828
1707336910.1931753,180500,-22.976591110229492
1707336916.7291749,182000,-22.997385025024414
1707336925.491175,184000,-22.98336410522461
1707336934.597173,186000,-22.986478805541992
1707336938.9841738,187000,-23.0316219329834
1707336947.8261735,189000,-23.04155731201172
1707336949.9581738,189500,-23.04697036743164
1707336952.0811746,190000,-23.0684814453125
1707336956.3491733,191000,-23.107152938842773
1707336967.4749463,193500,-23.03339958190918
1707336978.180371,196000,-23.051603317260742
1707336980.3759322,196500,-23.05075454711914
1707337017.1849759,204500,-22.94403839111328
