Wall time,Step,Value
1707335826.4412684,10088,-21.231002807617188
1707335831.8864098,10213,-28.30268669128418
1707335834.8990304,10285,-31.387714385986328
1707335838.179075,10366,-35.238136291503906
1707335841.416127,10444,-38.658790588378906
1707335844.494127,10519,-40.87950897216797
1707335847.4802015,10584,-44.40513229370117
1707335850.1872013,10650,-49.01109313964844
1707335853.0612001,10721,-51.36701965332031
1707335855.8921995,10789,-54.003173828125
1707335858.4632,10854,-56.47509002685547
1707335861.1311996,10921,-58.61207962036133
1707335864.1331997,10987,-62.72624206542969
1707335867.244201,11058,-63.65473556518555
1707335870.0222006,11125,-66.94864654541016
1707335872.7401996,11192,-69.14000701904297
1707335875.6102002,11262,-69.94859313964844
1707335878.3682048,11329,-75.81488037109375
1707335881.4932005,11407,-77.25746154785156
1707335885.2232003,11501,-79.56587219238281
1707335889.4781995,11605,-81.90567016601562
1707335896.2197115,11772,-84.46189880371094
1707335907.013712,12032,-96.6351318359375
1707335917.2978957,12274,-102.0361557006836
1707335926.3004148,12495,-110.89682006835938
1707335936.267415,12699,-114.7611083984375
1707335946.2514138,12913,-122.40620422363281
1707335958.605096,13141,-128.73336791992188
1707335969.4980965,13403,-130.36827087402344
1707335982.7940958,13698,-144.4490966796875
1707335995.5890958,13972,-141.91836547851562
1707336008.154097,14185,-157.48614501953125
1707336014.938137,14314,-161.6794891357422
1707336023.3581371,14480,-153.12265014648438
1707336031.1922581,14648,-158.36570739746094
1707336044.2953591,14901,-166.81884765625
1707336057.244571,15135,-166.68707275390625
1707336080.3794837,15533,-164.84571838378906
1707336098.4754825,15861,-172.9106903076172
1707336115.9655242,16162,-178.5845947265625
1707336136.2413464,16452,-181.76980590820312
1707336163.3594444,16874,-176.59405517578125
1707336176.8877234,17090,-181.32940673828125
1707336194.3696475,17336,-187.8409423828125
1707336208.210695,17559,-186.392333984375
1707336226.5128388,17835,-186.30331420898438
1707336244.0994637,18109,-185.4240264892578
1707336264.8254645,18419,-196.09991455078125
1707336278.8704653,18635,-186.9110565185547
1707336293.5274646,18867,-190.84130859375
1707336311.8024638,19160,-191.19447326660156
1707336329.6032453,19434,-190.26263427734375
1707336348.2372875,19741,-202.21588134765625
1707336360.1822872,19944,-186.45474243164062
1707336373.976017,20172,-189.22702026367188
1707336388.3460176,20414,-195.7652587890625
1707336407.8090239,20730,-197.49267578125
1707336418.5990164,20913,-196.27635192871094
1707336435.7940173,21195,-196.11073303222656
1707336456.3670168,21526,-191.2418975830078
1707336474.2760246,21828,-196.91943359375
1707336495.3289268,22177,-190.0688018798828
1707336512.5219243,22463,-193.33236694335938
1707336533.725924,22813,-189.81947326660156
1707336557.1728,23165,-182.1476593017578
1707336574.595223,23441,-184.6260986328125
1707336597.8528812,23811,-184.65602111816406
1707336619.584398,24170,-198.88426208496094
1707336639.6783998,24501,-184.0990753173828
1707336656.159869,24769,-190.05210876464844
1707336671.3961468,25000,-195.8287353515625
1707336679.7935455,25140,-187.9892120361328
1707336699.8486545,25472,-177.70877075195312
1707336718.5717607,25782,-186.48187255859375
1707336736.3301132,26069,-176.27561950683594
1707336757.525654,26420,-192.541748046875
1707336774.3661754,26707,-181.4140625
1707336798.027175,27056,-182.861572265625
1707336818.3621743,27384,-175.4042510986328
1707336834.3621728,27653,-187.46725463867188
1707336854.713174,27958,-168.3066864013672
1707336873.8741736,28271,-164.82034301757812
1707336889.6151733,28539,-184.57351684570312
1707336908.5001733,28847,-180.70947265625
1707336925.495175,29124,-184.15185546875
1707336942.1261752,29387,-167.2899627685547
1707336956.985173,29640,-175.7217559814453
1707336972.422998,29889,-171.21852111816406
1707336991.0604596,30176,-169.114013671875
1707337007.634975,30439,-170.5664520263672
1707337024.4889011,30709,-180.5342559814453
1707337041.1892765,30986,-167.11683654785156
1707337061.0540347,31296,-177.50863647460938
1707337078.9715514,31597,-171.2630615234375
1707337100.0265508,31938,-166.1593017578125
1707337120.833072,32261,-174.59873962402344
1707337138.1859062,32548,-181.24032592773438
1707337161.231114,32922,-169.1551055908203
1707337179.194112,33204,-176.55755615234375
1707337199.7281113,33488,-168.0677032470703
1707337223.5967832,33819,-168.90357971191406
1707337244.29683,34153,-167.01486206054688
1707337270.7988732,34574,-163.16293334960938
1707337294.270915,34953,-167.19992065429688
1707337318.6709144,35342,-160.00326538085938
1707337343.9889147,35758,-163.549560546875
1707337364.807914,36096,-158.6422882080078
1707337395.0669196,36558,-172.90798950195312
1707337418.0539143,36923,-170.75897216796875
1707337447.181916,37372,-163.5794219970703
1707337472.950914,37782,-159.22857666015625
1707337510.056249,38302,-162.81961059570312
1707337533.6092522,38668,-161.63941955566406
1707337562.7702959,39050,-162.1753692626953
1707337588.6618195,39443,-173.6067352294922
1707337615.1645365,39858,-156.30245971679688
1707337641.4486022,40267,-172.045654296875
1707337660.168763,40559,-163.59556579589844
1707337683.134763,40924,-157.66522216796875
1707337706.573762,41291,-153.9566650390625
1707337739.0807617,41801,-155.06039428710938
1707337762.2187612,42163,-162.1325225830078
1707337786.1660461,42526,-157.2755889892578
1707337806.5773377,42845,-161.75259399414062
1707337824.8113909,43134,-161.68231201171875
1707337848.096742,43496,-158.35595703125
1707337876.1267426,43940,-154.54669189453125
1707337901.7377424,44347,-165.46131896972656
1707337927.1127434,44736,-165.04835510253906
1707337951.948266,45130,-161.0711669921875
1707337974.7166758,45482,-163.7528533935547
1707338000.8967357,45901,-163.56594848632812
1707338018.232735,46180,-162.88645935058594
1707338038.1997366,46495,-162.7612762451172
1707338060.9217358,46854,-150.57244873046875
1707338081.1772623,47174,-159.97674560546875
1707338105.45775,47542,-163.8297119140625
1707338129.979602,47930,-146.19558715820312
1707338152.9217298,48298,-164.88487243652344
1707338172.8157294,48601,-167.68504333496094
1707338191.79873,48904,-168.02745056152344
1707338212.3027298,49233,-162.41065979003906
1707338234.900729,49586,-156.72923278808594
1707338254.8627305,49900,-154.87025451660156
1707338262.0867293,50000,-157.0638885498047
1707338278.6147304,50264,-159.56468200683594
1707338302.5582495,50639,-154.453369140625
1707338323.5397737,50975,-167.71348571777344
1707338346.415002,51334,-163.78591918945312
1707338366.914811,51656,-154.8807373046875
1707338391.7212214,52050,-154.51583862304688
1707338415.049221,52424,-168.550537109375
1707338447.0832236,52933,-167.16360473632812
1707338478.2488608,53432,-160.59817504882812
1707338508.9268606,53918,-154.09768676757812
1707338532.0058594,54289,-161.50169372558594
1707338556.3038602,54677,-146.3241424560547
1707338590.6228602,55218,-168.8762969970703
1707338617.0148594,55643,-155.7735595703125
1707338638.3038604,55972,-157.76962280273438
1707338660.3888602,56328,-159.3544464111328
1707338682.4238613,56673,-157.65478515625
1707338701.56786,56969,-161.6726531982422
1707338727.627861,57391,-159.1649932861328
1707338752.190861,57785,-156.15896606445312
1707338781.4798615,58244,-160.36993408203125
1707338804.4468617,58612,-158.79795837402344
1707338831.1008618,59028,-155.24127197265625
1707338854.561862,59404,-162.3062744140625
1707338885.5508597,59895,-166.07630920410156
1707338911.2088616,60289,-159.76564025878906
1707338933.80186,60649,-162.71282958984375
1707338955.377862,60994,-159.9514923095703
1707338981.3116443,61317,-151.7020263671875
1707339011.169139,61724,-159.08395385742188
1707339054.406848,62155,-162.9849090576172
1707339097.2891233,62685,-163.25743103027344
1707339120.438175,63048,-162.5482940673828
1707339145.5519931,63462,-168.8631134033203
1707339167.4835575,63814,-153.13284301757812
1707339191.753337,64210,-166.51861572265625
1707339232.1487896,64784,-167.99716186523438
1707339259.5920966,65215,-173.92225646972656
1707339284.7380967,65639,-160.0605926513672
1707339310.9027262,66037,-162.66612243652344
1707339342.8566024,66501,-166.4156494140625
1707339373.948602,66957,-166.71243286132812
1707339396.6896029,67318,-161.19082641601562
1707339429.2666037,67820,-164.4998321533203
1707339455.8416011,68211,-160.28436279296875
1707339500.7016232,68682,-174.3389892578125
1707339537.1276124,69159,-168.76345825195312
1707339573.5868385,69601,-161.8880157470703
1707339617.1698427,70076,-165.19471740722656
1707339654.484896,70509,-165.6950225830078
1707339702.264572,71112,-167.01243591308594
1707339737.4538178,71587,-171.41444396972656
1707339774.1776,72011,-162.5610809326172
1707339800.7115986,72423,-169.62255859375
1707339834.1976988,72818,-166.99887084960938
1707339869.762731,73267,-169.64617919921875
1707339908.5997329,73773,-173.94345092773438
1707339944.9007318,74365,-155.27520751953125
1707339970.493734,74764,-163.11593627929688
1707339987.612733,75000,-173.3441162109375
1707340007.8525941,75298,-164.09793090820312
1707340036.3500464,75707,-169.1302947998047
1707340067.8835666,76182,-170.70054626464844
1707340089.1297019,76532,-169.09530639648438
1707340118.3607013,77020,-178.30516052246094
1707340145.4167023,77468,-167.5130615234375
1707340172.3358572,77867,-177.20309448242188
1707340208.106699,78379,-172.0954132080078
1707340244.5165272,78911,-161.0459442138672
1707340275.2755682,79364,-180.10153198242188
1707340308.1785047,79846,-175.05247497558594
1707340350.68356,80452,-171.96417236328125
1707340383.701471,80944,-169.1142578125
1707340420.4394577,81449,-171.00531005859375
1707340456.4685047,81990,-171.91085815429688
1707340491.859619,82460,-178.07264709472656
1707340533.3399544,83066,-171.99693298339844
1707340581.1893814,83762,-171.64938354492188
1707340615.9926198,84244,-168.0184783935547
1707340654.6526222,84829,-171.28155517578125
1707340695.9316406,85489,-183.12649536132812
1707340724.826165,85978,-179.4898681640625
1707340757.160686,86513,-168.48008728027344
1707340793.6416845,87128,-177.03855895996094
1707340821.549686,87587,-170.67510986328125
1707340859.889686,88230,-179.42237854003906
1707340892.3366072,88764,-170.55194091796875
1707340926.154406,89331,-181.6945343017578
1707340959.604406,89867,-174.37135314941406
1707340990.0505593,90380,-177.10032653808594
1707341025.778406,90930,-162.4104461669922
1707341055.643406,91430,-180.82546997070312
1707341092.1290483,92010,-168.26605224609375
1707341121.3540254,92500,-175.4794464111328
1707341146.5903192,92909,-177.94021606445312
1707341183.9373176,93528,-185.61512756347656
1707341216.3533177,94056,-173.55540466308594
1707341256.2563438,94718,-180.736572265625
1707341284.6749213,95182,-186.3165740966797
1707341330.3590646,95922,-187.67161560058594
1707341363.0552974,96450,-187.6785888671875
