Wall time,Step,Value
1707335747.0682812,10234,-7.859017848968506
1707335750.7572823,10375,-9.089139938354492
1707335752.3422828,10445,-9.631490707397461
1707335756.1002831,10588,-10.555124282836914
1707335763.0820546,10731,-12.793375015258789
1707335767.1771114,10802,-13.419975280761719
1707335770.0483048,10874,-14.114372253417969
1707335771.9519148,10945,-14.372543334960938
1707335773.725912,11014,-15.074514389038086
1707335775.4351237,11083,-15.750391960144043
1707335777.171158,11153,-16.572553634643555
1707335778.9171581,11224,-17.215087890625
1707335780.625317,11294,-17.620330810546875
1707335782.3965213,11362,-19.187326431274414
1707335784.185524,11432,-19.15035629272461
1707335787.7865222,11573,-20.094070434570312
1707335791.5191808,11714,-21.97820472717285
1707335793.320187,11784,-22.279935836791992
1707335802.596412,12138,-25.368267059326172
1707335804.4274123,12209,-25.371828079223633
1707335806.3875868,12280,-26.641441345214844
1707335808.658587,12351,-27.211416244506836
1707335810.7055886,12420,-28.886960983276367
1707335814.7555885,12562,-29.19619369506836
1707335821.153269,12773,-30.194887161254883
1707335823.774267,12845,-31.90643882751465
1707335828.7012677,12987,-31.63812255859375
1707335831.3124094,13058,-32.82331848144531
1707335833.7770307,13129,-31.988771438598633
1707335836.1780305,13200,-34.518333435058594
1707335841.000127,13341,-35.82513427734375
1707335845.8682005,13483,-34.85808181762695
1707335848.3811994,13553,-35.25463104248047
1707335855.5822022,13766,-37.574913024902344
1707335857.9971998,13835,-36.33710861206055
1707335860.4172003,13907,-38.81882858276367
1707335862.9832013,13979,-38.332271575927734
1707335865.5871992,14050,-38.13520431518555
1707335872.744202,14260,-41.40256118774414
1707335875.1442,14331,-39.3380126953125
1707335879.957199,14473,-40.621978759765625
1707335882.3312023,14542,-40.03757858276367
1707335884.7522018,14614,-42.53647232055664
1707335887.1511998,14685,-40.742252349853516
1707335889.5172002,14755,-40.441810607910156
1707335891.8727129,14826,-42.632774353027344
1707335894.2427113,14896,-43.43025207519531
1707335898.9967115,15037,-43.196773529052734
1707335901.3877122,15108,-44.248130798339844
1707335903.8387122,15178,-43.37855911254883
1707335906.2737122,15248,-44.32463073730469
1707335911.1857781,15389,-44.84622573852539
1707335916.096894,15530,-43.40560531616211
1707335918.437898,15600,-45.14557647705078
1707335923.1944125,15742,-44.58769989013672
1707335925.5464146,15812,-45.65872573852539
1707335931.1814137,15951,-44.174381256103516
1707335933.6164155,16021,-45.87194061279297
1707335936.3174155,16091,-45.37406921386719
1707335938.7394135,16162,-45.13786697387695
1707335941.2054129,16233,-46.12599563598633
1707335943.9824152,16303,-44.592689514160156
1707335950.0545778,16436,-45.729000091552734
1707335952.7825727,16500,-48.34186553955078
1707335955.2800972,16564,-47.7560920715332
1707335957.9510982,16628,-48.95756530761719
1707335968.6030965,16948,-50.154624938964844
1707335970.750098,17012,-47.8404541015625
1707335975.4220967,17140,-46.502933502197266
1707335979.977097,17268,-47.915802001953125
1707335982.2090967,17332,-48.00389862060547
1707335984.5750983,17396,-47.528507232666016
1707335991.3110967,17588,-48.21906280517578
1707335993.5590987,17652,-46.325992584228516
1707336003.416098,17844,-47.82978439331055
1707336010.9211373,18036,-46.6300048828125
1707336016.1151388,18164,-46.00706481933594
1707336018.6341386,18228,-47.63045883178711
1707336021.0801373,18292,-49.71770095825195
1707336031.1092575,18548,-46.54398727416992
1707336033.4172573,18612,-48.297176361083984
1707336036.0672574,18676,-43.519935607910156
1707336038.6823015,18740,-46.343685150146484
1707336043.8743596,18868,-44.57019805908203
