Wall time,Step,Value
1707335735.069153,400,125.30655670166016
1707335735.2461517,627,131.5310821533203
1707335735.296153,705,126.723388671875
1707335735.4181542,907,126.56343078613281
1707335735.54816,1106,126.18338012695312
1707335735.5961561,1188,124.41514587402344
1707335735.646154,1270,122.56775665283203
1707335735.698156,1356,121.5199203491211
1707335735.7491536,1431,119.61990356445312
1707335735.8061535,1523,119.3970718383789
1707335735.8581536,1604,118.31409454345703
1707335735.9261546,1713,119.3125991821289
1707335736.0041542,1832,120.9794921875
1707335736.0761523,1936,121.43359375
1707335736.1371515,2030,121.29240417480469
1707335736.2781537,2227,121.42271423339844
1707335736.409157,2430,122.07421112060547
1707335736.4711528,2537,122.89118194580078
1707335736.7981527,3072,122.98096466064453
1707335736.8561542,3168,123.88475036621094
1707335736.9321544,3277,124.48735046386719
1707335737.0041533,3386,124.85183715820312
1707335737.0891526,3498,125.57589721679688
1707335737.2131534,3668,124.94186401367188
1707335737.4151695,3953,127.23946380615234
1707335737.4741518,4052,127.63037872314453
1707335737.5991542,4258,128.45526123046875
1707335737.6521559,4341,126.5688705444336
1707335737.716154,4429,125.80350494384766
1707335737.7981548,4537,126.3533935546875
1707335737.9061532,4699,124.60200500488281
1707335738.0191545,4859,122.23448181152344
1707335738.1041515,4972,122.68585205078125
1707335738.3421535,5295,121.29706573486328
1707335738.395158,5377,120.16715240478516
1707335738.459153,5465,120.47765350341797
1707335738.5271537,5564,120.55107879638672
1707335738.6531544,5658,119.81585693359375
1707335738.8611538,5951,118.61283111572266
1707335738.957245,6054,119.92009735107422
1707335739.0832434,6239,119.6715087890625
1707335739.230245,6439,120.13968658447266
1707335739.3042424,6542,120.7442398071289
1707335739.371243,6639,119.72695922851562
1707335739.4412436,6745,120.80397033691406
1707335739.503245,6842,121.11516571044922
1707335739.6232471,7031,121.00011444091797
1707335739.6812475,7121,121.76959991455078
1707335739.7452452,7217,122.6827621459961
1707335739.8072464,7311,123.1855697631836
1707335739.932245,7507,122.43122863769531
1707335740.0622444,7706,120.96755981445312
1707335740.1302445,7799,121.49964904785156
1707335740.2762442,7994,121.95551300048828
1707335740.450244,8268,121.42677307128906
1707335740.5282445,8384,122.18304443359375
1707335740.5782468,8475,121.4485092163086
1707335740.624247,8561,120.50428771972656
1707335740.6882436,8671,122.03089904785156
1707335740.7432427,8764,121.52307891845703
1707335740.8462443,8950,120.6601333618164
1707335740.9062455,9049,120.93809509277344
1707335740.9622443,9143,120.29169464111328
1707335741.0102437,9223,119.48677062988281
1707335741.2912443,9654,117.54988098144531
1707335741.4452453,9930,116.22579193115234
1707335743.726243,10095,114.84233093261719
